Opportunity,Snapshot Date,From Stage,To Stage,Days In Stage,Stage Velocity,Slipped
44691,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
44691,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
44691,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
44691,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
44691,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
44691,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
44691,2023-05-06,1. Identify Opp,1. Identify Opp,336,0.0,0
44691,2023-06-03,1. Identify Opp,1. Identify Opp,364,0.0,0
44691,2023-07-08,1. Identify Opp,1. Identify Opp,399,0.0,0
44691,2023-08-05,1. Identify Opp,1. Identify Opp,427,0.0,0
44691,2023-09-02,1. Identify Opp,1. Identify Opp,455,0.0,0
44691,2023-10-07,1. Identify Opp,1. Identify Opp,490,0.0,0
44691,2023-11-04,1. Identify Opp,1. Identify Opp,518,0.0,0
44691,2023-12-02,1. Identify Opp,1. Identify Opp,546,0.0,0
44691,2024-01-06,1. Identify Opp,1. Identify Opp,581,0.0,0
44691,2024-02-03,1. Identify Opp,1. Identify Opp,609,0.0,0
44691,2024-03-02,1. Identify Opp,1. Identify Opp,637,0.0,0
44691,2024-04-05,1. Identify Opp,1. Identify Opp,671,0.0,0
44691,2024-05-03,1. Identify Opp,1. Identify Opp,699,0.0,0
44691,2024-05-31,1. Identify Opp,1. Identify Opp,727,0.0,0
44691,2024-07-05,1. Identify Opp,1. Identify Opp,762,0.0,0
44691,2024-08-02,1. Identify Opp,1. Identify Opp,790,0.0,0
44691,2024-08-30,1. Identify Opp,1. Identify Opp,818,0.0,0
44691,2024-10-04,1. Identify Opp,1. Identify Opp,853,0.0,0
44691,2024-11-01,1. Identify Opp,1. Identify Opp,881,0.0,0
44691,2024-11-29,1. Identify Opp,1. Identify Opp,909,0.0,0
44691,2025-01-03,1. Identify Opp,1. Identify Opp,944,0.0,0
44691,2025-01-31,1. Identify Opp,1. Identify Opp,972,0.0,0
44691,2025-02-28,1. Identify Opp,1. Identify Opp,1000,0.0,0
44691,2025-04-07,1. Identify Opp,1. Identify Opp,1038,2.0,0
44691,2025-05-02,1. Identify Opp,1. Identify Opp,1063,0.0,0
44691,2025-05-30,1. Identify Opp,1. Identify Opp,1091,0.0,0
44691,2025-07-04,1. Identify Opp,1. Identify Opp,1126,0.0,0
44691,2025-08-01,1. Identify Opp,1. Identify Opp,1154,0.0,0
44691,2025-08-29,1. Identify Opp,1. Identify Opp,1182,0.0,0
44691,2025-10-03,1. Identify Opp,1. Identify Opp,1217,0.0,0
44691,2025-10-31,1. Identify Opp,1. Identify Opp,1245,0.0,0
44691,2025-11-28,1. Identify Opp,1. Identify Opp,1273,0.0,0
44691,2026-01-05,1. Identify Opp,1. Identify Opp,1311,2.0,0
44691,2026-01-30,1. Identify Opp,1. Identify Opp,1336,0.0,0
44691,2026-02-27,1. Identify Opp,1. Identify Opp,1364,0.0,0
44691,2026-04-10,1. Identify Opp,1. Identify Opp,1406,0.0,0
47866,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
47866,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
47866,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
47866,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
47866,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
47866,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
47866,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
47866,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
47866,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
47866,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
47866,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
47866,2023-05-06,1. Identify Opp,1. Identify Opp,336,0.0,0
47866,2023-06-03,1. Identify Opp,1. Identify Opp,364,0.0,0
47866,2023-07-08,1. Identify Opp,1. Identify Opp,399,0.0,0
47866,2023-08-05,1. Identify Opp,1. Identify Opp,427,0.0,0
47866,2023-09-02,1. Identify Opp,1. Identify Opp,455,0.0,0
47866,2023-10-07,1. Identify Opp,1. Identify Opp,490,0.0,0
47866,2023-11-04,1. Identify Opp,1. Identify Opp,518,0.0,0
47866,2023-12-02,1. Identify Opp,1. Identify Opp,546,0.0,0
47866,2024-01-06,1. Identify Opp,1. Identify Opp,581,0.0,0
47866,2024-02-03,1. Identify Opp,1. Identify Opp,609,0.0,0
47866,2024-03-02,1. Identify Opp,1. Identify Opp,637,0.0,0
47866,2024-04-05,1. Identify Opp,1. Identify Opp,671,0.0,0
47866,2024-05-03,1. Identify Opp,1. Identify Opp,699,0.0,0
47866,2024-05-31,1. Identify Opp,1. Identify Opp,727,0.0,0
47866,2024-07-05,1. Identify Opp,1. Identify Opp,762,0.0,0
47866,2024-08-02,1. Identify Opp,1. Identify Opp,790,0.0,0
47866,2024-08-30,1. Identify Opp,1. Identify Opp,818,0.0,0
47866,2024-10-04,1. Identify Opp,1. Identify Opp,853,0.0,0
47866,2024-11-01,1. Identify Opp,1. Identify Opp,881,0.0,0
47866,2024-11-29,1. Identify Opp,1. Identify Opp,909,0.0,0
47866,2025-01-03,1. Identify Opp,1. Identify Opp,944,0.0,0
47866,2025-01-31,1. Identify Opp,1. Identify Opp,972,0.0,0
47866,2025-02-28,1. Identify Opp,1. Identify Opp,1000,0.0,0
47866,2025-04-07,1. Identify Opp,1. Identify Opp,1038,2.0,0
47866,2025-05-02,1. Identify Opp,1. Identify Opp,1063,0.0,0
47866,2025-05-30,1. Identify Opp,1. Identify Opp,1091,0.0,0
47866,2025-07-04,1. Identify Opp,1. Identify Opp,1126,0.0,0
47866,2025-08-01,1. Identify Opp,1. Identify Opp,1154,0.0,0
47866,2025-08-29,1. Identify Opp,1. Identify Opp,1182,0.0,0
47866,2025-10-03,1. Identify Opp,1. Identify Opp,1217,0.0,0
47866,2025-10-31,1. Identify Opp,1. Identify Opp,1245,0.0,0
47866,2025-11-28,1. Identify Opp,1. Identify Opp,1273,0.0,0
47866,2026-01-05,1. Identify Opp,1. Identify Opp,1311,2.0,0
47866,2026-01-30,1. Identify Opp,1. Identify Opp,1336,0.0,0
47866,2026-02-27,1. Identify Opp,1. Identify Opp,1364,0.0,0
47866,2026-04-10,1. Identify Opp,1. Identify Opp,1406,0.0,0
58479,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
58479,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
58479,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
58479,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
58479,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
58479,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
58479,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
58479,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
58479,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
58479,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
58479,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
58479,2023-05-06,1. Identify Opp,1. Identify Opp,336,0.0,0
58479,2023-06-03,1. Identify Opp,1. Identify Opp,364,0.0,0
58479,2023-07-08,1. Identify Opp,1. Identify Opp,399,0.0,0
58479,2023-08-05,1. Identify Opp,1. Identify Opp,427,0.0,0
58479,2023-09-02,1. Identify Opp,1. Identify Opp,455,0.0,0
58479,2023-10-07,1. Identify Opp,1. Identify Opp,490,0.0,0
58479,2023-11-04,1. Identify Opp,1. Identify Opp,518,0.0,0
58479,2023-12-02,1. Identify Opp,1. Identify Opp,546,0.0,0
58479,2024-01-06,1. Identify Opp,1. Identify Opp,581,0.0,0
58479,2024-02-03,1. Identify Opp,1. Identify Opp,609,0.0,0
58479,2024-03-02,1. Identify Opp,1. Identify Opp,637,0.0,0
58479,2024-04-05,1. Identify Opp,1. Identify Opp,671,0.0,0
58479,2024-05-03,1. Identify Opp,1. Identify Opp,699,0.0,0
58479,2024-05-31,1. Identify Opp,1. Identify Opp,727,0.0,0
58479,2024-07-05,1. Identify Opp,1. Identify Opp,762,0.0,0
58479,2024-08-02,1. Identify Opp,1. Identify Opp,790,0.0,0
58479,2024-08-30,1. Identify Opp,1. Identify Opp,818,0.0,0
58479,2024-10-04,1. Identify Opp,1. Identify Opp,853,0.0,0
58479,2024-11-01,1. Identify Opp,1. Identify Opp,881,0.0,0
58479,2024-11-29,1. Identify Opp,1. Identify Opp,909,0.0,0
58479,2025-01-03,1. Identify Opp,1. Identify Opp,944,0.0,0
58479,2025-01-31,1. Identify Opp,1. Identify Opp,972,0.0,0
58479,2025-02-28,1. Identify Opp,1. Identify Opp,1000,0.0,0
58479,2025-04-07,1. Identify Opp,1. Identify Opp,1038,2.0,0
58479,2025-05-02,1. Identify Opp,1. Identify Opp,1063,0.0,0
58479,2025-05-30,1. Identify Opp,1. Identify Opp,1091,0.0,0
58479,2025-07-04,1. Identify Opp,1. Identify Opp,1126,0.0,0
58479,2025-08-01,1. Identify Opp,1. Identify Opp,1154,0.0,0
58479,2025-08-29,1. Identify Opp,1. Identify Opp,1182,0.0,0
58479,2025-10-03,1. Identify Opp,1. Identify Opp,1217,0.0,0
58479,2025-10-31,1. Identify Opp,1. Identify Opp,1245,0.0,0
58479,2025-11-28,1. Identify Opp,1. Identify Opp,1273,0.0,0
58479,2026-01-05,1. Identify Opp,1. Identify Opp,1311,2.0,0
58479,2026-01-30,1. Identify Opp,1. Identify Opp,1336,0.0,0
58479,2026-02-27,1. Identify Opp,1. Identify Opp,1364,0.0,0
58479,2026-04-10,1. Identify Opp,1. Identify Opp,1406,0.0,0
72574,2022-06-04,3. Develop Proposal,3. Develop Proposal,0,0.0,1
72574,2022-07-09,3. Develop Proposal,3. Develop Proposal,35,0.0,1
72574,2022-08-06,3. Develop Proposal,3. Develop Proposal,63,0.0,1
72574,2022-09-03,3. Develop Proposal,3. Develop Proposal,91,0.0,1
72574,2022-10-08,3. Develop Proposal,3. Develop Proposal,126,0.0,1
72574,2022-11-05,3. Develop Proposal,3. Develop Proposal,154,0.0,1
72574,2022-12-03,3. Develop Proposal,3. Develop Proposal,182,0.0,1
72574,2023-01-07,3. Develop Proposal,3. Develop Proposal,217,0.0,1
72574,2023-02-04,3. Develop Proposal,3. Develop Proposal,245,0.0,1
72574,2023-03-04,3. Develop Proposal,3. Develop Proposal,273,0.0,1
72574,2023-04-08,3. Develop Proposal,3. Develop Proposal,308,0.0,1
72574,2023-05-06,3. Develop Proposal,3. Develop Proposal,336,0.0,1
72574,2023-06-03,3. Develop Proposal,3. Develop Proposal,364,0.0,1
72574,2023-07-08,3. Develop Proposal,7. Abandoned,399,0.0,0
81480,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
81480,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,1
81480,2022-08-06,2. Qualify Opp,2. Qualify Opp,63,0.0,1
81480,2022-09-03,2. Qualify Opp,2. Qualify Opp,91,0.0,1
81480,2022-10-08,2. Qualify Opp,7. Abandoned,126,0.0,1
83821,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
83821,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,1
83821,2022-08-06,2. Qualify Opp,2. Qualify Opp,63,0.0,1
83821,2022-09-03,2. Qualify Opp,2. Qualify Opp,91,0.0,1
83821,2022-10-08,2. Qualify Opp,2. Qualify Opp,126,0.0,0
83821,2022-11-05,2. Qualify Opp,2. Qualify Opp,154,0.0,0
83821,2022-12-03,2. Qualify Opp,2. Qualify Opp,182,0.0,0
83821,2023-01-07,2. Qualify Opp,2. Qualify Opp,217,0.0,0
83821,2023-02-04,2. Qualify Opp,2. Qualify Opp,245,0.0,0
83821,2023-03-04,2. Qualify Opp,2. Qualify Opp,273,0.0,0
83821,2023-04-08,2. Qualify Opp,2. Qualify Opp,308,0.0,0
83821,2023-05-06,2. Qualify Opp,2. Qualify Opp,336,0.0,0
83821,2023-06-03,2. Qualify Opp,7. Abandoned,364,0.0,0
83827,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
83827,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
83827,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
83827,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
83827,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
83827,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
83827,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
83827,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
83827,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
83827,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
83827,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
83827,2023-05-06,1. Identify Opp,7. Abandoned,336,0.0,0
109683,2022-11-05,2. Qualify Opp,2. Qualify Opp,0,0.0,1
109683,2022-12-03,2. Qualify Opp,2. Qualify Opp,28,0.0,1
109683,2023-01-07,2. Qualify Opp,2. Qualify Opp,63,0.0,1
109683,2023-02-04,2. Qualify Opp,2. Qualify Opp,91,0.0,1
109683,2023-03-04,2. Qualify Opp,2. Qualify Opp,119,0.0,1
109683,2023-04-08,2. Qualify Opp,2. Qualify Opp,154,0.0,1
109683,2023-05-06,2. Qualify Opp,2. Qualify Opp,182,0.0,1
109683,2023-06-03,2. Qualify Opp,2. Qualify Opp,210,0.0,1
109683,2023-07-08,2. Qualify Opp,2. Qualify Opp,245,0.0,1
109683,2023-08-05,2. Qualify Opp,2. Qualify Opp,273,0.0,1
109683,2023-09-02,2. Qualify Opp,2. Qualify Opp,301,0.0,1
109683,2023-10-07,2. Qualify Opp,2. Qualify Opp,336,0.0,1
109683,2023-11-04,2. Qualify Opp,2. Qualify Opp,364,0.0,1
109683,2023-12-02,2. Qualify Opp,2. Qualify Opp,392,0.0,1
109683,2024-01-06,2. Qualify Opp,2. Qualify Opp,427,0.0,1
109683,2024-02-03,2. Qualify Opp,2. Qualify Opp,455,0.0,1
109683,2024-03-02,2. Qualify Opp,1. Identify Opp,483,0.0,1
109683,2024-04-05,1. Identify Opp,1. Identify Opp,0,0.0,0
109683,2024-05-03,1. Identify Opp,1. Identify Opp,28,0.0,0
109683,2024-05-31,1. Identify Opp,2. Qualify Opp,56,0.0,0
109683,2024-07-05,2. Qualify Opp,2. Qualify Opp,0,0.0,1
109683,2024-08-02,2. Qualify Opp,7. Abandoned,28,0.0,1
116163,2022-07-09,4. Issue Proposal,5. Won,0,0.0,0
132115,2022-06-04,2. Qualify Opp,7. Abandoned,0,0.0,0
135666,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
135666,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,1
135666,2022-08-06,2. Qualify Opp,2. Qualify Opp,63,0.0,1
135666,2022-09-03,2. Qualify Opp,2. Qualify Opp,91,0.0,1
135666,2022-10-08,2. Qualify Opp,2. Qualify Opp,126,0.0,0
135666,2022-11-05,2. Qualify Opp,2. Qualify Opp,154,0.0,0
135666,2022-12-03,2. Qualify Opp,2. Qualify Opp,182,0.0,0
135666,2023-01-07,2. Qualify Opp,2. Qualify Opp,217,0.0,0
135666,2023-02-04,2. Qualify Opp,2. Qualify Opp,245,0.0,0
135666,2023-03-04,2. Qualify Opp,2. Qualify Opp,273,0.0,0
135666,2023-04-08,2. Qualify Opp,2. Qualify Opp,308,0.0,0
135666,2023-05-06,2. Qualify Opp,2. Qualify Opp,336,0.0,0
135666,2023-06-03,2. Qualify Opp,2. Qualify Opp,364,0.0,0
135666,2023-07-08,2. Qualify Opp,2. Qualify Opp,399,0.0,0
135666,2023-08-05,2. Qualify Opp,2. Qualify Opp,427,0.0,0
135666,2023-09-02,2. Qualify Opp,2. Qualify Opp,455,0.0,0
135666,2023-10-07,2. Qualify Opp,2. Qualify Opp,490,0.0,0
135666,2023-11-04,2. Qualify Opp,2. Qualify Opp,518,0.0,0
135666,2023-12-02,2. Qualify Opp,2. Qualify Opp,546,0.0,0
135666,2024-01-06,2. Qualify Opp,2. Qualify Opp,581,0.0,0
135666,2024-02-03,2. Qualify Opp,2. Qualify Opp,609,0.0,0
135666,2024-03-02,2. Qualify Opp,2. Qualify Opp,637,0.0,0
135666,2024-04-05,2. Qualify Opp,2. Qualify Opp,671,0.0,0
135666,2024-05-03,2. Qualify Opp,2. Qualify Opp,699,0.0,0
135666,2024-05-31,2. Qualify Opp,2. Qualify Opp,727,0.0,0
135666,2024-07-05,2. Qualify Opp,2. Qualify Opp,762,0.0,0
135666,2024-08-02,2. Qualify Opp,2. Qualify Opp,790,0.0,0
135666,2024-08-30,2. Qualify Opp,2. Qualify Opp,818,0.0,0
135666,2024-10-04,2. Qualify Opp,2. Qualify Opp,853,0.0,0
135666,2024-11-01,2. Qualify Opp,2. Qualify Opp,881,0.0,0
135666,2024-11-29,2. Qualify Opp,2. Qualify Opp,909,0.0,0
135666,2025-01-03,2. Qualify Opp,7. Abandoned,944,0.0,0
136748,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
136748,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,0
136748,2022-08-06,2. Qualify Opp,7. Abandoned,63,0.0,0
137047,2025-07-04,1. Identify Opp,1. Identify Opp,0,0.0,0
137047,2025-08-01,1. Identify Opp,1. Identify Opp,28,0.0,0
137047,2025-08-29,1. Identify Opp,1. Identify Opp,56,0.0,0
137047,2025-10-03,1. Identify Opp,1. Identify Opp,91,0.0,0
137047,2025-10-31,1. Identify Opp,1. Identify Opp,119,0.0,0
137047,2025-11-28,1. Identify Opp,1. Identify Opp,147,0.0,0
137047,2026-01-05,1. Identify Opp,1. Identify Opp,185,2.0,0
137047,2026-01-30,1. Identify Opp,1. Identify Opp,210,0.0,0
137047,2026-02-27,1. Identify Opp,1. Identify Opp,238,0.0,0
137047,2026-04-10,1. Identify Opp,1. Identify Opp,280,0.0,0
160573,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
160573,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
160573,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
160573,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
160573,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
160573,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
160573,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
160573,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
160573,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
160573,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
160573,2023-04-08,1. Identify Opp,7. Abandoned,308,0.0,0
188250,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,1
188250,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,1
188250,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
188250,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
188250,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
188250,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
188250,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
188250,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
188250,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
188250,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
188250,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
188250,2023-05-06,1. Identify Opp,1. Identify Opp,336,0.0,0
188250,2023-06-03,1. Identify Opp,1. Identify Opp,364,0.0,0
188250,2023-07-08,1. Identify Opp,7. Abandoned,399,0.0,0
189235,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,1
189235,2022-07-09,1. Identify Opp,7. Abandoned,35,0.0,1
219221,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
219221,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,1
219221,2022-08-06,2. Qualify Opp,2. Qualify Opp,63,0.0,1
219221,2022-09-03,2. Qualify Opp,2. Qualify Opp,91,0.0,1
219221,2022-10-08,2. Qualify Opp,2. Qualify Opp,126,0.0,1
219221,2022-11-05,2. Qualify Opp,2. Qualify Opp,154,0.0,1
219221,2022-12-03,2. Qualify Opp,2. Qualify Opp,182,0.0,1
219221,2023-01-07,2. Qualify Opp,2. Qualify Opp,217,0.0,1
219221,2023-02-04,2. Qualify Opp,2. Qualify Opp,245,0.0,1
219221,2023-03-04,2. Qualify Opp,2. Qualify Opp,273,0.0,1
219221,2023-04-08,2. Qualify Opp,3. Develop Proposal,308,0.0,1
219221,2023-05-06,3. Develop Proposal,4. Issue Proposal,0,0.0,1
219221,2023-06-03,4. Issue Proposal,4. Issue Proposal,0,0.0,1
219221,2023-07-08,4. Issue Proposal,4. Issue Proposal,35,0.0,1
219221,2023-08-05,4. Issue Proposal,4. Issue Proposal,63,0.0,1
219221,2023-09-02,4. Issue Proposal,4. Issue Proposal,91,0.0,1
219221,2023-10-07,4. Issue Proposal,4. Issue Proposal,126,0.0,1
219221,2023-11-04,4. Issue Proposal,4. Issue Proposal,154,0.0,1
219221,2023-12-02,4. Issue Proposal,4. Issue Proposal,182,0.0,1
219221,2024-01-06,4. Issue Proposal,4. Issue Proposal,217,0.0,0
219221,2024-02-03,4. Issue Proposal,4. Issue Proposal,245,0.0,0
219221,2024-03-02,4. Issue Proposal,4. Issue Proposal,273,0.0,0
219221,2024-04-05,4. Issue Proposal,3. Develop Proposal,307,0.0,1
219221,2024-05-03,3. Develop Proposal,3. Develop Proposal,0,0.0,1
219221,2024-05-31,3. Develop Proposal,4. Issue Proposal,28,0.0,1
219221,2024-07-05,4. Issue Proposal,4. Issue Proposal,0,0.0,1
219221,2024-08-02,4. Issue Proposal,4. Issue Proposal,28,0.0,1
219221,2024-08-30,4. Issue Proposal,4. Issue Proposal,56,0.0,1
219221,2024-10-04,4. Issue Proposal,4. Issue Proposal,91,0.0,1
219221,2024-11-01,4. Issue Proposal,4. Issue Proposal,119,0.0,1
219221,2024-11-29,4. Issue Proposal,5. Won,147,0.0,0
222192,2022-06-04,2. Qualify Opp,2. Qualify Opp,0,0.0,1
222192,2022-07-09,2. Qualify Opp,2. Qualify Opp,35,0.0,1
222192,2022-08-06,2. Qualify Opp,2. Qualify Opp,63,0.0,1
222192,2022-09-03,2. Qualify Opp,2. Qualify Opp,91,0.0,1
222192,2022-10-08,2. Qualify Opp,2. Qualify Opp,126,0.0,1
222192,2022-11-05,2. Qualify Opp,2. Qualify Opp,154,0.0,1
222192,2022-12-03,2. Qualify Opp,2. Qualify Opp,182,0.0,1
222192,2023-01-07,2. Qualify Opp,7. Abandoned,217,0.0,1
250361,2022-06-04,3. Develop Proposal,3. Develop Proposal,0,0.0,1
250361,2022-07-09,3. Develop Proposal,3. Develop Proposal,35,0.0,1
